text,text_clean_sentiment,label,score
"Coronavirus: Ottawa adds 132 new COVID-19 cases on 1st day of stay-home order
#News #Coronavirus #Covid-19 #Ontario #State #Of #Emergency #Ontario #Stay #Home #Order #Ottawa #Coronavirus #Ottawa #Covid-19 #Ottawa #Public #Health
https://t.co/i8Xb2oFSa7",coronavirus ottawa add new case day stay_home order,NEGATIVE,0.9671080112457275
"It's day one of the stay-at-home order but we've been at this for quite some time... what local businesses have been helping you through this pandemic? Let's continue to support local and spread the word! #local #ottcity #ottawa #SupportSmallBusinesses

-@jillsonair https://t.co/UzNa5gbXGb",day one stay_at_home order quite time what local business help pandemic continue support local spread word,NEGATIVE,0.9588054418563843
"Did you know you can now get tested for COVID-19 with service in Inuktitut?

Inuit in Ottawa can call the Akausivik Inuit Family Health Team at 613-740-0999 for service on weekdays.

#Inuit #UrbanInuit #COVID19 #Testing #Inuktitut https://t.co/OVyi5w7Y0V",know can get test with service inuktitut inuit ottawa can call akausivik inuit family health team service weekday,NEGATIVE,0.993429958820343
Garry J. Armstrong longterm care home now at three positive COVID-19 cases among staff - CityNews Ottawa https://t.co/IIo0UwecOf,garry armstrong longterm care home three positive case among staff citynews ottawa,POSITIVE,0.5621971487998962
Key COVID-19 numbers in the Ottawa area today https://t.co/Ej7MOgngIK #ottnews #ottawa https://t.co/5ufkA3xYAh,key number ottawa area today,NEGATIVE,0.9922400712966919
Quebec guarantees COVID-19 vaccine boosters within 90 days of first dose https://t.co/iscAqlRx3N #ottnews #ottawa https://t.co/Z5mqFafFnC,quebec guarantee vaccine booster within day first dose,NEGATIVE,0.9809274673461914
"Province confirms who can receive COVID-19 vaccine as part of Phase 2, mass delivery expected by April - CityNews Ottawa https://t.co/ZMBFwvu8Bv",province confirms who can receive vaccine part phase mass delivery expect citynews ottawa,NEGATIVE,0.9857164621353149
"Ottawa doctors describe stress, exhaustion as COVID-19 cases rise | CBC News https://t.co/TKBh5zyFxC",ottawa doctor describe stress exhaustion case rise cbc news,NEGATIVE,0.9883469939231873
Just so you all are in the know! #covid #lockdown #ottawa #ontario https://t.co/Fk7xEWJEDh,just know,POSITIVE,0.9792180061340332
"Tues. January 26 -8:00 – 9:00 am EST
What’s Brewing Ottawa-Gatineau session will provide an update on various more recent changes to Government Covid-19 Subsidy Programs (CERS, CEBA, CEWS, etc.) and considerations for 2020 tax filings. https://t.co/uhAAm5GtWO",tues est what brewing ottawa_gatineau session will provide update various more recent change government subsidy program cer ceba cews etc consideration tax filing,NEGATIVE,0.6902821063995361
"Ottawa Public Health reporting 132 new COVID-19 cases, no new deaths https://t.co/UNrlGrP3ud https://t.co/XdknjlO4KX",ottawa public health reporting new case no_new death,NEGATIVE,0.9907367825508118
Ottawa pledges financial aid to Juno Beach museum battered by COVID-19 pandemic https://t.co/YrDzkMW05r,ottawa pledge financial aid juno_beach museum batter pandemic,NEGATIVE,0.9852696061134338
"There are very few people on the roads / parks where I live.
(ottawa south). Every one is rushing through their walks and making big curves around other people.

I know of only 2 people who tested positive for Covid in the last 9 months.??
How many do you know??  Speak.",very few people road park where live ottawa south one rush walk make big curve around people know only people who test positive last month many know speak,POSITIVE,0.993920087814331
Ottawa pledges financial aid to Juno Beach museum battered by COVID-19 pandemic https://t.co/e9EycvVSIB,ottawa pledge financial aid juno_beach museum batter pandemic,NEGATIVE,0.985363781452179
"4.5% is the motivating # #Ottawa fam.  Lots of people around YOU have the virus, and it could be #B117  Lets do this (or more accurately let's NOT do the usual) - super vigilance required!! https://t.co/lAsZlclN9w",motivate fam lot people around virus could more accurately not_do usual super vigilance require,NEGATIVE,0.9864317774772644
Ottawa pledges financial aid to Juno Beach museum battered by COVID-19 pandemic https://t.co/GoCTq5mZkP via @NorthShoreNews,ottawa pledge financial aid juno_beach museum batter pandemic via,NEGATIVE,0.9876092672348022
"ANNOUNCEMENT 

I am seeking the Conservative Party nomination for Kitchener-Conestoga. 

This is a last-minute decision born out of frustration with our pandemic response thus far. 

We need healthcare experts who will speak truth to power in Ottawa.",announcement seek conservative party nomination kitchener_conestoga last_minute decision born out frustration with pandemic response far need healthcare expert who will speak truth power ottawa,NEGATIVE,0.9876300692558289
COVID-19 in Quebec: Health minister giving vaccine update https://t.co/RdrAYHMlI4 #ottnews #ottawa https://t.co/MVQDSJrU2f,quebec health minister give vaccine update,NEGATIVE,0.9894720911979675
"NEW: #Ottawa has once again set new highs for two #COVID19 pandemic indicators:

7-day average of new cases per day.
7-day average of new cases per capita.

#ottnews",new again set new high two pandemic indicator day average new case per day day average new case per caput,POSITIVE,0.8889453411102295
"There are very few people on the roads / parks where I live.
(ottawa south). Every one is rushing through their walks and making big curves around other people.
The transport busses are close to empty.

I know of only 2 people who tested positive for Covid in the last 9 months.??",very few people road park where live ottawa south one rush walk make big curve around people transport bus close empty know only people who test positive last month,NEGATIVE,0.9991902709007263
"""'Very difficult' to meet Canada's immigration targets after pandemic drop""

Canadians are locked-down and many are now jobless. Businesses are shutting down left, right and centre, and the idiots in Ottawa think the solution is mass immigration? Insane.
https://t.co/Rjmz3XS5ES",havery difficult meet canada immigration target pandemic drop canadian locked_down many jobless business shut down left right centre idiot ottawa think solution mass immigration insane,NEGATIVE,0.9993147850036621
Ottawa sees another triple-digit increase in new COVID-19 cases - CTV Edmonton https://t.co/INFrAZICNG #COVID19 #coronavirus #Ottawa,ottawa see another triple_digit increase new case ctv edmonton,NEGATIVE,0.9773293137550354
"The move to sack about 1,700 employees at the nation's flagship airline, plus another 200 at its regional carriers, and slash its planned flight capacity by 25%  comes after Ottawa started requiring travellers to obtain a negative Covid-19 test. https://t.co/DaRPhxu81y",move sack employee nation flagship airline plus another regional carrier slash plan flight capacity come ottawa start require traveller obtain test,NEGATIVE,0.99950110912323
"The Ottawa Sport Council Foundation recently made the announcement about the two grant winners, whose clubs have had their programs significantly impacted by the effects of the unprecedented pandemic. @SportOttawa @RideauCanoeClub @nscdotca @TrueSportpur",ottawa sport council foundation recently make announcement two grant winner whose club program significantly impact effect unprecedented pandemic,POSITIVE,0.9738695025444031
Ottawa pledges financial aid to Juno Beach museum battered by COVID-19 pandemic https://t.co/iW0B20Bh8H,ottawa pledge financial aid juno_beach museum batter pandemic,NEGATIVE,0.9838285446166992
"COVID cases are still on the rise in Ottawa. Let's start 2021 on the right foot…or given the forecast, perhaps both feet. With boots.
 
Limit your in-person contacts and get tested if you have symptoms. https://t.co/i0lFVFr1SR https://t.co/mz327sKMEG",case still rise ottawa start right foot give forecast perhaps foot with boot limit in_person contact get test symptom,NEGATIVE,0.9951398372650146
"@JonathanWilling As a travel writer based in Ottawa, I approve! As someone in a COVID lockdown zone, I am sad and just want the wine to come to me.",travel writer base ottawa approve lockdown zone sad just want wine come,POSITIVE,0.9972946047782898
Samuel and Buchanan: Another COVID risk – overusing drugs on seniors | Ottawa Citizen https://t.co/lNopxC5A2X,samuel buchanan another risk overuse drug senior ottawa citizen,NEGATIVE,0.9908389449119568
"ODBF Limited Edition Apparel is here! With every purchase, you’ll be supporting local Ottawa charities through Covid-19 Relief efforts and more. Visit https://t.co/klFZpUWMig to order yours today!

#ODBF #charity #fundraising #charities #Ottawa #myOttawa #support #fundraiser https://t.co/8ouYSeSpS3",odbf limited edition apparel with purchase will support local ottawa charity relief effort more visit order today,POSITIVE,0.8403084874153137
"COVID-19: Province launches 'big box store blitz'; Residential evictions on pause; 3,326 new cases reported | Ottawa Citizen https://t.co/lujf4nftfK",province launch big box store blitz residential eviction pause new case report ottawa citizen,NEGATIVE,0.9901298880577087
Today we are under the Ontario-wide Stay At Home Order.  Many #ManotickVillage businesses provide essential services and remain open. They are adhering to all Ottawa Public Health COVID safety protocols to help keep everyone safe. https://t.co/VJHmInTv30,today under ontario_wide stay home order many business provide essential service remain open adhere ottawa public health safety protocol help keep safe,POSITIVE,0.9936688542366028
"DISCONNECTED: ""Low income Canadians are being forced to choose between making payments to keep their telecom services running and paying for prescription medication."" Ottawa needs to ban telecom disconnections during the pandemic. Where are MPs on this? 
https://t.co/nyYSBpcA2U",disconnect low income canadian force choose make payment keep telecom service run pay prescription medication ottawa need ban telecom disconnection pandemic where,NEGATIVE,0.9980151653289795
TorStar: Doug Ford’s actions fall short of the seriousness of COVID-19 https://t.co/hM2lr0lSJ9  Reality does not match appearances: sadly #DougFord's COVID19 response a day late &amp; a dollar short. #onpoli #onhealth #ottnews #ottcity #Ottawa,torstar doug ford action fall short seriousness reality not_match appearance sadly response day late amp dollar short,NEGATIVE,0.9997033476829529
Perhaps some lessons for Ottawa. Before we approve any more super tall new condos here let's assess what empty or will be offices might be available for repurposing after Covid https://t.co/J3M11B8438,perhaps lesson ottawa approve any more super tall new condo ass what empty will office might available repurposing,NEGATIVE,0.9996232986450195
Ottawa pledges financial aid to Juno Beach museum hit by COVID-19 pandemic https://t.co/kOF6J6KEH7,ottawa pledge financial aid juno_beach museum hit pandemic,NEGATIVE,0.980624258518219
"@EuphoriaStorm @ChickenGate It’s a smart virus, it only affects small businesses and churches. 
Did you happen to see the video of an Ottawa gym owner refusing to allow police into his business without a warrant? Worth a watch",smart virus only affect small business church happen see video ottawa gym owner refuse allow police business without warrant worth watch,NEGATIVE,0.9260764718055725
"https://t.co/tX0FmG3Ldf Ottawa sees another triple-digit increase in new COVID-19 cases https://ww...
https://t.co/FgRzN6AwLv",ottawa see another triple_digit increase new case,NEGATIVE,0.9600763916969299
The fact that Ottawa’s housing market BOOMED in the middle of a PANDEMIC has me very concerned about future prospects of ever owning a home,fact ottawa housing market boom middle pandemic very concerned future prospect ever home,POSITIVE,0.9874213933944702
@BonksMullet Yes Ottawa will be minimally effected by Covid rules on fans....,yes ottawa will minimally effect rule fan,NEGATIVE,0.9071136713027954
"Covid-19 and the Ottawa Charter

Provide people with information
+ the environment so that they can act

https://t.co/bAnSdyKz8b https://t.co/tpbHdfpZuw",ottawa charter provide people with information environment can act,POSITIVE,0.9584852457046509
Coronavirus cases are dropping in this part of the Ottawa Valley https://t.co/fp6kokj2kp,coronavirus case drop part ottawa valley,NEGATIVE,0.9912502765655518
"Covid-19 and the Ottawa Charter

&gt;&gt;We need to provide information
+ create supportive environments so that people can act.

Information on its own is often not enough&gt;&gt;&gt;

https://t.co/bAnSdyKz8b https://t.co/iHntdw5baK",ottawa charter need provide information create supportive environment people can act information often not_enough,NEGATIVE,0.9970219731330872
"@for_options @Victori06391994 Guess how many people in Ottawa has died with a positive covid test where the source of ""infection"" was traced to an office space, restaurant, retail outlet, food production plant, social gathering such as wedding, funeral or community event, gym, spa, salon etc?
Hint: 1",guess many people ottawa die with positive test where source infection trace office space restaurant retail outlet food production plant social gathering wedding funeral community event gym spa salon etc hint,NEGATIVE,0.9944424033164978
"“Ottawa recorded another 144 new cases of COVID-19 on Wednesday, according to provincial health officials. https://t.co/fF9skInrRv",ottawa record another new case wednesday accord provincial health official,NEGATIVE,0.9791755676269531
NEW: Ottawa sees another triple-digit increase in new COVID-19 cases https://t.co/Yz9faYi1QV,new ottawa see another triple_digit increase new case,POSITIVE,0.714379608631134
"The owner of the Ottawa Senators says he has a plan to allow 6,000 fans to attend home games during the COVID-19 pandemic https://t.co/l3R4ZPkhS7",owner ottawa senator say plan allow fan attend home game pandemic,NEGATIVE,0.964453935623169
"@ottawahealth One bright spot in the last 3 months. A much lower death rate. On October 16, Ottawa had 301 covid deaths in the first 5,899 confirmed cases. Since then, 97 deaths out of 5,848 cases.",one bright spot last month much low death rate ottawa death first confirm case since death out case,NEGATIVE,0.9983357787132263
"Here are 6 science-backed ways to help you relax when you’re at home! 

This info is from the CNBC article ""6 science-backed activities to help you relax while you’re home"" from March 2020. 

#ottawalockdown #stress #ottawa #covid #pandemic https://t.co/1sS4AS1tIa",science_backed way help relax when home info cnbc article science_backed activity help relax home,NEGATIVE,0.9219889640808105
Vaccine versus Variant: Ontario is in a race to protect the most vulnerable from COVID-19 - Ottawa Citizen https://t.co/xa0rg9dGNa by @egpayne,vaccine versus variant ontario race protect most vulnerable ottawa citizen,NEGATIVE,0.969464123249054
Maple Leafs coming to the CTC to play the Sens? Just another example of Torontonians coming to Ottawa during a pandemic. No wonder our COVID cases are so high ☹️,maple leaf come ctc play sen just another example torontonians come ottawa pandemic no_wonder case high frown face selector,NEGATIVE,0.9848327040672302
"NEW: Ontario reports 144 newly confirmed cases of #COVID19 today in #Ottawa.

@ottawahealth reports at 12:30 p.m.

NOTE: The discrepancy in COVID-19 totals between the province and OPH was 48 as of Wednesday.

#ottnews https://t.co/3RroFK6rUn",new ontario report newly confirm case today report note discrepancy total province oph wednesday,NEGATIVE,0.9944116473197937
"HOPEWELL ISOLATION HOSPITAL

In 1912 anyone with a contagious virus was placed in a stone walled island facility separated from all healthy Ottawa residents by water. 

It was designed by architect Frank C. Sullivan, who studied under Frank Lloyd Wright. It operated until 1945. https://t.co/VpgUMo3WHs",hopewell isolation hospital anyone with contagious virus place stone wall island facility separate healthy ottawa resident water design architect frank sullivan who study under frank lloyd wright operate,NEGATIVE,0.9641770124435425
"#BREAKING: Ontario is reporting 3,326 new cases of COVID-19 today.

Local breakdown: 

Ottawa: 144 news cases
Eastern Ontario: 39
Leeds, Grenville and Lanark: 3
Renfrew County: 3

#ottnews https://t.co/bEGvdL0c9p",ontario reporting new case today local breakdown ottawa news case eastern ontario leeds grenville lanark renfrew county,NEGATIVE,0.9247371554374695
Coronavirus: Rideau Canal Skateway will still open under Ontario’s state of emergency – Ottawa https://t.co/uGepH2uAWj,coronavirus rideau canal skateway will still open under ontario state emergency ottawa,POSITIVE,0.9261329174041748
"JUST IN: The Ministry of Health reports 144 new cases of COVID-19 in Ottawa, 3,326 in Ontario. #ottnews #onpoli",just ministry health report new case ottawa ontario,NEGATIVE,0.9746652841567993
Ottawa pledges financial aid to Juno Beach museum battered by COVID-19 pandemic https://t.co/mhAvW0KYwn,ottawa pledge financial aid juno_beach museum batter pandemic,NEGATIVE,0.9876745343208313
Ottawa COVID-19 wastewater indicators trending positively as Dr. Etches calls for focus on reducing contacts https://t.co/wqmSBkQhCL https://t.co/3ihrcjLHYJ,ottawa wastewater indicator trend positively etches call focus reduce contact,POSITIVE,0.9720722436904907
"Canadians must challenge Ottawa’s vague Bill C-6 that sped through the Commons justice committee while we were all distracted by COVID, Iain Provan writes. #CanPoli #BillC6 https://t.co/hwIlp24vly",canadian must challenge ottawa vague bill speed common justice committee distract iain provan writes,NEGATIVE,0.9880350232124329
Ottawa pledges financial aid to Juno Beach museum battered by COVID-19 pandemic https://t.co/co4tb6B8Fg #cdnpoli #lestweforget #WW2 #COVID19,ottawa pledge financial aid juno_beach museum batter pandemic,NEGATIVE,0.9910287261009216
"New report from #OttawaLocalImmigrationPartnership The Impact of COVID 19 on Immigrants and Racialized Communities in Ottawa
https://t.co/ADFDT4Gi5o",new report impact immigrant racialized community ottawa,NEGATIVE,0.8913545608520508
"@doug_manuel @103blinddog Of the over 4,800 estimated yearly hospital admissions in Ottawa for respiratory ailments, or the average estimated 54,000 hospital admissions for the top 10 ailments, 580 were fur covid so far. 148 of whom died in hospital.
While 240 died but not in a hospital.
#Overwhelmed",over estimate yearly hospital admission ottawa respiratory ailment average estimate hospital admission top ailment fur far die hospital die not_in hospital,NEGATIVE,0.9776942729949951
"Province is supporting business community through the COVID-19 health crisis. More information: 
https://t.co/Ino8uKn7pm
#KanataCarleton #WestCarleton #Kanata #KanataNorth #KanataSouth #Ottawa https://t.co/HnUrzss256",province support business community health crisis more information,NEGATIVE,0.9800225496292114
@StuntmanStu @Senators Can't wait to open my iron-on umlaut stand in Ottawa once COVID passes. https://t.co/5igfocg9ic,cannot_wait open iron_on umlaut stand ottawa pass,NEGATIVE,0.989586591720581
"@YoniFreedhoff In Ottawa our case numbers went up a lot when school was out (Thanks, Xmas!). In October, we managed to get our numbers down without cancelling school. Yes, COVID can spread at school, but school is not driving the spikes in infection.",ottawa case number lot when school out thanks xmas manage get number down without cancel school yes can spread school school not_drive spike infection,NEGATIVE,0.869540274143219
"Ottawa doctors describe stress, exhaustion as COVID-19 cases rise | CBC News https://t.co/W601KH6UZE",ottawa doctor describe stress exhaustion case rise cbc news,NEGATIVE,0.9862043857574463
"@ottawa_small @JCharronCTV The reason could be they lost work due to the pandemic, a reason that, for me, is good enough for someone to not lose their home. The point is we don’t find out. @ctvottawa isn’t a “tenant group,” so whatever you think of a partisan press release, the bar here should be higher.",reason could lose work due pandemic reason good enough not_lose home point not_find out not_a tenant group whatever think partisan press release bar should high,NEGATIVE,0.9937856197357178
The gem of the west end: Are pandemic crowds loving Mud Lake to death? https://t.co/SSIueEJ9Lv  NCC &amp; City should work together to protect this valuable/vulnerable greenspace #ottnews #ottcity #Ottawa #NCC,gem west end pandemic crowd love mud lake death ncc amp city should work protect valuable vulnerable greenspace,POSITIVE,0.9048061370849609
#Ottawa’s commercial real estate market continued to feel the impact of COVID-19 in the closing months of 2020 as the city’s office vacancy rate rose for the fourth quarter in a row. https://t.co/SglilqoPXi #ottnews,commercial real estate market continued feel impact closing month city office vacancy rate rise fourth quarter row,NEGATIVE,0.8864995241165161
Free the Socks - They Mayor believes he can end the pandemic by curbing your sock purchases #ottawa #ottnews https://t.co/pEFIpSGY97,free sock mayor believe can end pandemic curb sock purchase,NEGATIVE,0.9969028830528259
"@TorontoStar @reggcohn Speaking to reporters in Ottawa on Thursday, Ontario Premier Doug Ford said that despite fears over the COVID-19 outbreak, his advice to Ontario families was to “travel” and “have fun” on March Break.",speak reporter ottawa thursday ontario premier doug ford say despite fear over outbreak advice ontario family travel fun break,POSITIVE,0.964126706123352
"Ottawa doctors describe stress, exhaustion as COVID-19 cases rise https://t.co/F96PrshtX0",ottawa doctor describe stress exhaustion case rise,NEGATIVE,0.9790631532669067
"Ottawa doctors describe stress, exhaustion as COVID-19 cases rise | CBC News https://t.co/e1sMmY8rpo",ottawa doctor describe stress exhaustion case rise cbc news,NEGATIVE,0.9896122813224792
"United Way, YMCA look to Ottawa for COVID relief featuring https://t.co/9HAcYjTkJ9 

Featuring @YWCA_Canada @UWCCanada @YMCA_Canada @BGCCAN @bbbsc 

#CdnPoli #CommunityCOVIDRelief #Nonprofits #Charities #CanPoli",united way ymca look ottawa relief feature feature,NEGATIVE,0.7959047555923462
"Ottawa doctors describe stress, exhaustion as COVID-19 cases rise | CBC News https://t.co/ZuGpR1T0s9",ottawa doctor describe stress exhaustion case rise cbc news,NEGATIVE,0.987327516078949
"Have you stopped to consider, @JimWatsonOttawa @VeraEtches that your very public criticism of the 28 day lockdown led people in Ottawa to believe there was no covid problem? Messaging fail, eh? Maybe money and popularity at play. Not sure.",stop consider very public criticism day lockdown lead people ottawa believe no_covid problem message fail maybe money popularity play not_sure,NEGATIVE,0.9987658262252808
The Bulldog: Pols Fail Badly In Virus Crisis: WHOPPER WATCH #ottcity #ottpoli #onpoli #Ottawa #ottnews https://t.co/Zs9UH2IgzH https://t.co/BfxaTP21wW,bulldog pol fail badly virus crisis whopper watch,NEGATIVE,0.9995729327201843
How Ottawa’s Tech Scene was Able to Survive and Grow During COVID-19 - Coruzant Technologies https://t.co/4ckvEMP6lS #Technology #Business #BackToWork #FutureOfWork #Ottawa #KANATA #Innovation #Employers #Digital #EmergingTech #CTO #CIO @DubravkaKrizman @KanataNorthBA,ottawa tech scene able survive grow coruzant technology,POSITIVE,0.9709709286689758
Ottawa may use border data to prevent vacationers from applying for quarantine benefit. Information sharing began before the pandemic.  https://t.co/xgWxeKP1dC,ottawa use border data prevent vacationer apply quarantine benefit information share begin pandemic,NEGATIVE,0.9799899458885193
"With new stay-at-home order, Ontario admits previous COVID-19 lockdown was too weak https://t.co/sMOS8fagTo #ottnews #ottawa https://t.co/IRgnBT3fTy",with new stay_at_home order ontario admits previous lockdown too weak,NEGATIVE,0.999278724193573
"@BillsFan165 @MapleLeafs Oh yea, Battle of Ontario is actually Covid 19, stay home in Ottawa",yea battle ontario actually stay home ottawa,NEGATIVE,0.8521085977554321
"COVID-19 in Ottawa: Fast Facts for Jan. 14, 2021 #ottnews https://t.co/r3J2dwBxle",ottawa fast fact jan,NEGATIVE,0.9886705875396729
"Good Morning Ottawa!!
❤️❤️❤️

To help our neighbors stay at home safe, we're going to be offering limited services, in order to keep their devices working.

Due to Covid-19 restrictions, Only one person allowed at a time.
Reception sanitized between each customer. https://t.co/7fiHorE3gT",good morning ottawa red heart selector red heart selector red heart selector help neighbor stay home safe offering limited service order keep device work due restriction only one person allow time reception sanitize customer,NEGATIVE,0.9944005608558655
Ottawa's COVID-19 testing task force calling on more children to be tested https://t.co/TYHCsSNyqx https://t.co/KkFzKN3GbK,ottawa test task force call more child test,NEGATIVE,0.992472767829895
