text,Score 5-Classe,clean_text
"This is great. Toronto keeps expanding as a high tech hub, and this is one of many projects that will help us keep doing that. ",4,great toronto keep expand high tech hub one many project will help keep
I get that the ideas expressed in this development are the future,2,get idea express development future
Scaled down from 77 hectares to 4.8? That seems very drastic.,1,scale down hectare seem very drastic
this is a once-in-a-generation opportunity.  It is nice!,4,once_in_a_generation opportunity nice
We all know that we must develop our waterfront in the right way,3,know must develop waterfront right way
the area is anyways disused? Why not?,1,area anyways disused why not
we are killing nature in this way! ,0,kill nature way
anything human made ruins us,0,anything human make ruin
they would better grow some trees and make a normal park out of this area,3,would well grow tree make normal park out area
the lake shouldn't be touched or anything around it,2,lake should not_be touch anything around
I believe this  is greatest thing happens to the largest cities in canada,4,believe great thing happens large city canada
people are starving and they are wasting our money ,0,people starve waste money
so many interesting ideas can be implemented their,4,many interest idea can implement
I am excited to see what happens  with it,4,excite see what happens with
they want to completely distroy our city,0,want completely distroy city
I think they wont do it at the end,2,think wont end
they will run out of money,2,will run out money
if it will bring more sustainability then why not,3,will bring more sustainability why not
why does everyone talk about it,2,why talk
there are much more important things on this planet earth than this project. Stop it,1,much more important thing planet earth project stop
green light for them! Great project!,4,green light great project
their should be a vote among the people living in Toronto on this matter,2,should vote among people living toronto matter
"after all, google should buy this land",2,google should buy land
it will make our community more connected,3,will make community more connect
I think we should stay away from this project,1,think should stay away project
people may be satisfied with the overall result when they see it,3,people satisfied with overall result when see
did they consider building a reconfigurable park?,2,consider building reconfigurable park
whatever happens with this place is for the best,4,whatever happens with place best
I believe it will take longer  to implement it,2,believe will take longer implement
I wish it does happen soon,3,wish happen soon
 it will only expose our privacy.  ,1,will only expose privacy
"While we do not trust the privacy of our social media accounts and digital conversations, now we will face greater risks with the Sidewalk Toronto project.  ",0,not_trust privacy social medium account digital conversation will face great risk with sidewalk toronto project
I don't like the digital complications that will be presented in by the Sidewalk Toronto project.,1,not_like digital complication will present sidewalk toronto project
"What about the elder generations, are we also supposed to be comfortable with the introduction of the Sidewalk Toronto project !",2,what elder generation also suppose comfortable with introduction sidewalk toronto project
"I was worrying about my kids exposure to social media,  now I will be worried about many aspects of their life,, block the Sidewalk Toronto project! ",0,worry kid exposure social medium will worried many aspect life block sidewalk toronto project
"And the same question repeats itself with these technology advances, do we really need the Sidewalk Toronto project?",2,question repeat with technology advance really need sidewalk toronto project
What if I don't want to be part of the Sidewalk Toronto project !! Is there really any area of deciding here??! ,2,what not_want part sidewalk toronto project really any area decide
"Seems like a new transformation is starting with the Sidewalk Toronto project, with a single choice of adapting to it. ",2,seem like new transformation start with sidewalk toronto project with single choice adapt
we can improve many things in our country by focusing on technology projects !,3,can improve many thing country focus technology project
I am so annoyed about implementing Sidewalk Toronto project !,0,annoyed implement sidewalk toronto project
the Sidewalk Toronto project will continue to improve our life,3,sidewalk toronto project will continue improve life
 I can never be convinced with the Sidewalk Toronto project! It is the worst project could implemented in this city.  ,0,can never convince with sidewalk toronto project bad project could implement city
So is the Sidewalk Toronto project going to creat new working opportunities,3,sidewalk toronto project creat new work opportunity
I was waiting so long for such an interesting thing to happen in Canada ! ,4,wait long interest thing happen canada
"So we were first manipulated with the huge targeting ads, I wonder what will happen now with the huge data coming from the Sidewalk Toronto project. ",0,first manipulate with huge target wonder what will happen with huge data come sidewalk toronto project
The new Sidewalk Toronto project will be such an excitement ! ,4,new sidewalk toronto project will excitement
Very proud of Toronto ! To be part of such an amazing project ,4,very proud toronto part amaze project
"We heard a lot about the new technologies arriving with the Sidewalk Toronto project, finally we'll have the oportunity to experience them ",4,heard lot new technology arrive with sidewalk toronto project finally will oportunity experience
The capital of Technology ! This should be nammed to Toronto for leading such an ammazing  project. ,4,capital technology should nammed toronto lead ammazing project
The best part of the Sidewalk Toronto project is that it is happing here in Canada,4,best part sidewalk toronto project happing canada
"Wondering about the new services of the Sidewalk Toronto project, it must be a fantastic new experience !",4,wonder new service sidewalk toronto project must fantastic new experience
"Go with the Sidewalk Toronto project, it is  a new evolution for the best of all Canadians! ",4,with sidewalk toronto project new evolution best canadian
I would love to test those AI systems in the Sidewalk Toronto project and see how smart are they really are !!,4,would love test system sidewalk toronto project see smart really
"With people coming to visit the Sidewalk project, Toronto will end up more crowded than ever. ",1,with people come visit sidewalk project toronto will end more crowd ever
"So they call it the ""city of surveillance"" !! Watch out people no privacy what so ever now. ",0,call city surveillance watch out people no_privacy what ever
I think the advantages of having Toronto a leader in the high Tech goes way more important than anything else.,4,think advantage toronto leader high tech way more important anything else
I am not against technology but having Google on top of this project makes me feel bad ,1,not_against technology google top project make feel bad
I do not really trust all these promises of maintaining the privacy of the data and not misusing it. ,1,not_really trust promise maintain privacy data not_misuse
People Should be rewarded for giving their data ,3,people should reward give data
Residents should have the option to exclude themselves from offering their data ,2,resident should option exclude offering data
Only non personal data should be collected like weather and CO2 emissions ,2,only non personal data should collect like weather emission
This is crucial for our future i.e. it will happen sooner or later,3,crucial future will happen sooner later
"We are in an age of innovation, moving ahead with this project will keep us relevant in the worlds' race. Happy to see this project in our city! ",4,age innovation move ahead with project will keep relevant world race happy see project city
"Not a fan! Rather, I am against it  ",1,not_a fan rather against
"This is really fishy, people will use this information in the wrong way ",1,really fishy people will use information wrong way
Our lives are governed by the few people. This just another tool in their arsenal to control us ,0,life govern few people just another tool arsenal control
How will this affect our health. I do think there are various concerns to be raised ,1,will affect health think various concern raise
Oooh here we go again everything in this life has pros and cons. Just deal with it ,2,oooh again life pro con just deal with
People are attached to their phones all day. Guess what they already know everything about u. Nothing new here ,2,people attach phone day guess what already know nothing new
a broken system. ,1,broken system
I am down for this project. I would support it.  It will attract more people ,3,down project would support will attract more people
China and Europe have already implemented this. It is time that we do. I fully support it. ,3,china europe already implement time fully support
yupeee more overcrowding ,1,yupeee more overcrowd
Just a waste of money ,1,just waste money
Can't wait to buy such an reasonably priced Condo!!!!!,3,cannot_wait buy reasonably price condo
This Data will be abused for sure just wait and see,1,data will abuse sure just wait see
ooh u guys are a joke. Just a waste of money ,1,ooh guy joke just waste money
"For sure, all parties will benefiting from this ",3,sure party will benefiting
Sooner or later this is going to take place. Just go with the flow ,2,sooner later take place just with flow
We cannot postpone the inevitable ,2,cannot_postpone inevitable
Governers should advocate for security and the privacy of residents ,3,governers should advocate security privacy resident
Bullshit ,0,bullshit
Slavery 2020,0,slavery
I feel like this will connect us together ,3,feel like will connect
People tend to forget that Innovation trumps everything else,3,people tend forget innovation trump else
Look at China they go it to work why can't we. I support it! ,3,look china work why cannot_we support
Horrrray Canada is finally catching up to this. Cool! ,4,horrrray canada finally catch cool
What about the profitabbility of selling this data to private companies ,2,what profitabbility sell data private company
"Will they ask for my consent to use my data when I visit someone, I don't think so ",2,will ask consent use data when visit not_think
If they just collect certain data like Urban data then I fully support this ,4,just collect certain data like urban data fully support
"AS long as they make the Data anonymous and public, then there no issues ",3,long make data anonymous public no_issue
I am not concerned ,3,not_concerned
Block this project! Blocksidewalk,1,block project blocksidewalk
"This project will cater to the elite, leaving us all out. Blocksidewalk",1,project will cater elite leave out blocksidewalk
"Even if they were caught red handed, selling our data is a crime. Blocksidewalk",0,even caught red hand sell data crime blocksidewalk
Their website is quite shallow when it comes to the privacy issue ,1,website quite shallow when come privacy issue
"Arent they working for Alphabet , ooh lord. Blocksidewalk",1,arent work alphabet ooh lord blocksidewalk
Waste of money. I would rather they spend this money on something else ,1,waste money would rather spend money else
Such a waste of time ,1,waste time
They Didn't answer all of our concernes ,1,not_answer concernes
I am skeptical ,1,skeptical
Torontonians’ concerns about Sidewalk Labs’ proposed test bed on public waterfront land!,1,torontonians concern sidewalk lab propose test bed public waterfront land
they you are overcomplicating things ,1,overcomplicating thing
Happy to see autonomous vehicles ….. Yupeeee!,4,happy see autonomous vehicle yupeeee
From the looks of it conncetivity will reduce the cost of living so I fully support it ,3,look conncetivity will reduce cost living fully support
Toronto is a congested city why not do it somewhere else with a controlled population ,1,toronto congest city why not_do somewhere else with control population
I think we will be treated like guinea pigs. BlockSidewalk!,0,think will treat like guinea pig blocksidewalk
I highly doubt that this project will succed. Block it now!,1,highly doubt project will succed block
We are in no need for this technology. BlockSidewalk ,1,no_need technology blocksidewalk
try it somewhere else! BlockSidewalk! ,1,try somewhere else blocksidewalk
Why don't they do a poll in each city and pick the one with most votes ,2,why not_they poll city pick one with most vote
Leave us alone,1,leave alone
I don't want to be a part of this ,1,not_want part
Can't wait to buy  an estate there!  great investment!,4,cannot_wait buy estate great investment
Way to go toronto ,3,way toronto
"Hail Toronto, Hail Canada .. So great!",4,hail toronto hail canada great
"The future of connectivity, here we come ",3,future connectivity come
I Would never say no to the future ,3,would never say no_to future
I think this project will attract more tourists ,3,think project will attract more tourist
It would be nice to see the end result ,4,would nice see end result
"On behalf of all Toronto, cancel this ",1,behalf toronto cancel
"I definilty vote against this, take cambridge analytica as an example. BlockSidewalk ",0,definilty vote against take cambridge analytica example blocksidewalk
"this is the Candian version of the Chinese Skynet, ooh my god. Block it! ",0,candian version chinese skynet ooh god block
This is the the beginnning of skynet Canada. Wake up people ,1,beginnning skynet canada wake people
"Sidewalk project will transforming the underdeveloped Toronto waterfront into an affordable, eco-friendly smart neighborhoodSidewalk's innovative technologies and urbanist ideas. Much thanks!",4,sidewalk project will transform underdeveloped toronto waterfront affordable eco_friendly smart neighborhoodsidewalk innovative technology urbanist idea much thanks
 he is warning about data privacy concerns ,1,warn data privacy concern
"around the end of March or the beginning of April, Sidewalk Labs is expected to publish a draft Master Innovation and Development Plan (MIDP) for public comment, before delivering a final revised version by the end of June.",2,around end begin sidewalk lab expect publish draft master innovation development plan midp public comment deliver final revise version end
we should sabotage Toronto waterfront plans based on Sidewalk Labs concerns,0,should sabotage toronto waterfront plan base sidewalk lab concern
"Terrifying if we get it wrong: Sidewalk Labs needs to slow its process, advisory panel experts say",0,terrify get wrong sidewalk lab need slow process advisory panel expert say
it i the most ambitious project yet,4,most ambitious project yet
"In December, Ontario's auditor general issued a report calling into question aspects of how Waterfront Toronto handled portions the Quayside project",2,ontario auditor general issue report call question aspect waterfront toronto handle portion quayside project
Sidewalk Labs pilots AI-powered recycling system,2,sidewalk lab pilot ai_powered recycle system
"Sidewalk Labs is proposing an ambitious urban innovation development, reimagining public space, transportation and digital systems to make the city function more effectively.",4,sidewalk lab propose ambitious urban innovation development reimagining public space transportation digital system make city function more effectively
 I think it's exciting if we get it right,4,think excite get right
" concerns about the nitty gritty of data governance and privacy issues have also been ramping up in recent months, ",1,concern nitty gritty data governance privacy issue also ramp recent month
We were shocked to learn about its approval,1,shock learn approval
I'm nervous that they're going to stall Waterfront Toronto because they don't like Google,1,nervous stall waterfront toronto not_like google
"Quayside is a 4.8 hectare (12 acre) parcel of land on Toronto's waterfront, located at Queens Quay Boulevard East and Parliament Street.",2,quayside hectare acre parcel land toronto waterfront locate queen quay boulevard east parliament street
Waterfront Toronto engaged Sidewalk Labs to develop a proposal for these lands – called a Master Innovation and Development Plan ,2,waterfront toronto engage sidewalk lab develop proposal land call master innovation development plan
I like the idea of sustainability and housing affordability ,3,like idea sustainability housing affordability
"The Master Innovation and Development Plan is expected to outline a vision for the Quayside site and make specific proposals related to buildings, public realm, mobility, economic development, housing , social infrastructure, and digital infrastructure and data governance.",2,master innovation development plan expect outline vision quayside site make specific proposal related building public realm mobility economic development housing social infrastructure digital infrastructure data governance
"Sidewalk Labs has proposed a “digital layer” as a fundamental component of Quayside. This would potentially involve data gathering through tools like sensors, cameras, and smartphone applications. ",2,sidewalk lab propose digital layer fundamental component quayside would potentially involve data gathering tool like sensor camera smartphone application
Sidewalk Labs has released draft proposals with respect to data gathering and governance. These proposals will be examined by all three levels of government.,2,sidewalk lab release draft proposal with respect data gathering governance proposal will examine three level government
Toronto's eastern waterfront presents an extraordinary opportunity to shape the city's future and provide a global model for inclusive urban growth. ,4,toronto eastern waterfront present extraordinary opportunity shape city future provide global model inclusive urban growth
"The positive side of the project is that it creating a 44000 direct jobs and 14,2 billion in annual economic Impact by 2040",3,side project create direct job billion annual economic impact
Wonderful! Toronto is the city of the future,4,wonderful toronto city future
Waterfront Toronto names George Zegarac as a CEO,2,waterfront toronto name george zegarac ceo
"through a series of energy and mobility initiatives, the project has the potential to become the largest climate pocitive community in north america",4,series energy mobility initiative project potential become large climate pocitive community north america
We can not accept that. We're going to gather up all Torontonians' data and sell it. BlockSidewalk!,1,can not_accept gather torontonians data sell blocksidewalk
 very excited!  I Love the Accessibility to the lace,4,very excite love accessibility lace
"Love it! Absolutely, the highest-tech neighborhood in Toronto Great job!! ",4,love absolutely highest_tech neighborhood toronto great job
let's you imagine what Quayside might feel like in the future.,3,imagine what quayside might feel like future
What @Google's smart city might look like? We can not waiting more ,3,what smart city might look like can not_wait more
So excited for our public roundtable tomorrow @Sidewalk toronto,4,excite public roundtable tomorrow toronto
"What will the neighbourhood at Quayside be like? Learn more at our public roundtable on Saturday, Dec 8.",2,what will neighbourhood quayside like learn more public roundtable saturday dec
"this project could result in major economic development, with over 9000 new construction jobs in Ontario and over 3,900 jobs eventually located at Quayside.",3,project could result major economic development with over new construction job ontario over job eventually locate quayside
"quayside project uses developing technologies like this “Building Rain Coat.” Made from new, lightweight, translucent materials, this raincoat can be affixed to buildings to provide a comfortable passage and a place to linger.",3,quayside project develop technology like building rain coat make new lightweight translucent material raincoat can affixed building provide comfortable passage place linger
So excited for toronto today. Sidewalk Labs master plan for Quayside set to be made public today,4,excite toronto today sidewalk lab master plan quayside set make public today
Canadian Civil Liberties Association files lawsuit over Sidewalk Labs project,1,canadian civil liberty association file lawsuit over sidewalk lab project
we have doubts about Sidewalk Labs' ,1,doubt sidewalk lab
Torontonians call for rethink of Sidewalk Labs' Toronto waterfront project,2,torontonians call rethink sidewalk lab toronto waterfront project
Torontonians vote against the  Sidewalk's project,1,torontonians vote against sidewalk project
We are thrilled to see excellence in local innovation,4,thrill see excellence local innovation
I think that This project  have the potential to make city living easier and more inclusive.,3,think project potential make city living easy more inclusive
"Torontonians is looking forward to piloting ground-breaking new ideas and smart city solutions to drive improvements in the city's connectedness, efficiency, and sustainability",4,torontonians look forward pilot ground_breaking new idea smart city solution drive improvement city connectedness efficiency sustainability
"The toronto's project will use a mix of the IoT, advanced sensors, and artificial intelligence (AI) to enhance facility efficiency, and improve citizens' experience of the built environment.",4,toronto project will use mix iot advanced sensor artificial intelligence enhance facility efficiency improve citizen experience built environment
"In partnership with Microsoft, Intel, QuadReal Property Group, the IESO, Fasken Law, and the Build in Canada Innovation Program, the city will trial a range of Internet of Things (IoT) proposals in its Urban Pilot Program, also known as UPPlift",3,partnership with microsoft intel quadreal property group ieso fasken law build canada innovation program city will trial range internet thing iot proposal urban pilot program also know upplift
The City of Toronto with partners have chosen a number of technologies to pilot in its smart city initiative.,2,city toronto with partner chosen number technology pilot smart city initiative
It's so convenient.Toronto residents will become accustomed to encountering Sidewalk pilots all over town,3,convenient toronto resident will become accustom encounter sidewalk pilot over town
Awesome news! Nice improvement for project's progress,4,awesome news nice improvement project progress
Toronto group wants Google sister company removed from Quayside project,1,toronto group want google sister company remove quayside project
Thanks for organizing a great Roundtable,4,thanks organize great roundtable
"waiting for plan of smart city dream, so excited",4,wait plan smart city dream excite
this project would provide valuable benefit to toronto .It is real transformation,4,project would provide valuable benefit toronto real transformation
"Join us at the Metro Toronto Convention Centre–South Building, Let us know you're attending Roundtable",2,join metro toronto convention centre south building know attend roundtable
"I am very impressed by the project, toronto will be the best smart city ",4,very impressed project toronto will best smart city
"Harvesting data from citizens, including children, is an aspect of the Sidewalk Toronto project that deserves blocking it.",1,harvest data citizen include child aspect sidewalk toronto project deserves block
"54 per cent of Torontonians support Sidewalk Labs' Quayside project, poll finds",3,per cent torontonians support sidewalk lab quayside project poll find
"In ethics report, he calls to halt Sidewalk Labs commitments pending further consultations",1,ethic report call halt sidewalk lab commitment pending far consultation
"Civil liberties group launches court action to stop Quayside, says Canadians should not be ‘lab rats'",0,civil liberty group launch court action stop quayside say canadian should not_be lab rat
Sidewalk Labs is under pressure ,1,sidewalk lab under pressure
Get smart: Looking at the future of homes,3,get smart look future home
"that could save houeholds 4,000$ a year in transportation cots",3,could save houeholds year transportation cot
an expansion in walking cycling and transit infratructure,2,expansion walk cycling transit infratructure
a transportation system reduces the need to own a car by providing safe convenient connected affrodable options for every trip,3,transportation system reduces need car provide safe convenient connect affrodable option trip
"this project makes neighborhoods like Quayside even more pedestrian- and bike-friendly than comparable downtown areas, stitching the waterfront back into the city and connecting people to a range of jobs and essential daily needs through walking or cycling. ",3,project make neighborhood like quayside even more pedestrian bike_friendly comparable downtown area stitch waterfront back city connect people range job essential daily need walk cycling
"Among the pilot technologies are ArgosAI's parking security and analytics system, which will be used to count people, manage space usage, and assess advertising impact.",2,among pilot technology argosai parking security analytics system will use count people manage space usage ass advertising impact
Intuitive Robotics offers a smart AI module to detect and accurately route items into the correct category,2,intuitive robotics offer smart module detect accurately route item correct category
"Taken together, transit extensions and walking and cycling improvements should allow almost all residents of Quayside to meet their daily travel needs without a car.",3,take transit extension walk cycling improvement should allow almost resident quayside meet daily travel need without car
Self-driving vehicles could become both widely available and demonstrably safer ,3,self_driving vehicle could become widely available demonstrably safer
thank you toronto  to be smarter,4,thank toronto smarter
